symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check
1339.TW,https://www.tradingview.com/symbols/TWSE-1339/,跌破下軌,42.05,42.26,,40.10,True,跌破下軌,42.05,42.37,,38.39,True
1342.TW,https://www.tradingview.com/symbols/TWSE-1342/,突破上軌,92.30,91.78,96.20,,True,突破上軌,92.30,92.13,126.67,,True
1413.TW,https://www.tradingview.com/symbols/TWSE-1413/,跌破下軌,9.75,9.81,,9.50,True,跌破下軌,9.75,9.80,,8.29,True
1604.TW,https://www.tradingview.com/symbols/TWSE-1604/,跌破下軌,23.95,23.97,,24.05,False,跌破下軌,23.95,24.00,,23.27,True
1711.TW,https://www.tradingview.com/symbols/TWSE-1711/,突破上軌,21.60,21.43,22.25,,True,突破上軌,21.60,21.41,28.97,,True
1713.TW,https://www.tradingview.com/symbols/TWSE-1713/,突破上軌,49.10,48.07,54.50,,True,突破上軌,49.10,48.09,54.50,,True
1725.TW,https://www.tradingview.com/symbols/TWSE-1725/,突破上軌,31.00,30.73,34.42,,True,突破上軌,31.00,29.89,54.36,,True
1732.TW,https://www.tradingview.com/symbols/TWSE-1732/,跌破下軌,27.20,27.28,,21.97,True,跌破下軌,27.20,27.34,,19.46,True
1789.TW,https://www.tradingview.com/symbols/TWSE-1789/,突破上軌,18.80,18.47,20.55,,True,突破上軌,18.80,18.51,29.57,,True
2305.TW,https://www.tradingview.com/symbols/TWSE-2305/,突破上軌,11.80,11.62,13.30,,True,突破上軌,11.80,11.73,30.50,,True
2308.TW,https://www.tradingview.com/symbols/TWSE-2308/,突破上軌,1050.00,1041.56,1085.00,,True,突破上軌,1050.00,1045.56,1085.00,,True
2327.TW,https://www.tradingview.com/symbols/TWSE-2327/,突破上軌,253.50,253.32,262.00,,True,突破上軌,253.50,252.54,262.00,,True
2409.TW,https://www.tradingview.com/symbols/TWSE-2409/,突破上軌,15.20,14.88,14.90,,False,突破上軌,15.20,14.43,18.60,,True
2464.TW,https://www.tradingview.com/symbols/TWSE-2464/,突破上軌,70.00,69.11,78.70,,True,突破上軌,70.00,68.48,97.91,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,17.30,16.87,16.15,,False,突破上軌,17.30,16.87,27.29,,True
2492.TW,https://www.tradingview.com/symbols/TWSE-2492/,突破上軌,129.50,129.24,144.50,,True,突破上軌,129.50,129.34,144.50,,True
3532.TW,https://www.tradingview.com/symbols/TWSE-3532/,突破上軌,108.50,105.78,125.50,,True,突破上軌,108.50,107.57,178.55,,True
4960.TW,https://www.tradingview.com/symbols/TWSE-4960/,突破上軌,14.00,13.94,15.70,,True,突破上軌,14.00,13.99,18.35,,True
6116.TW,https://www.tradingview.com/symbols/TWSE-6116/,突破上軌,9.65,9.41,8.95,,False,突破上軌,9.65,9.13,12.70,,True
6201.TW,https://www.tradingview.com/symbols/TWSE-6201/,跌破下軌,54.80,54.99,,55.00,False,跌破下軌,54.80,54.95,,50.73,True
6861.TW,https://www.tradingview.com/symbols/TWSE-6861/,突破上軌,68.60,68.11,70.50,,True,突破上軌,68.60,66.26,88.88,,True
6909.TW,https://www.tradingview.com/symbols/TWSE-6909/,突破上軌,47.00,45.75,51.00,,True,突破上軌,47.00,44.93,51.00,,True
8105.TW,https://www.tradingview.com/symbols/TWSE-8105/,突破上軌,13.65,13.23,14.85,,True,突破上軌,13.65,13.10,24.36,,True
2941.TWO,https://www.tradingview.com/symbols/TPEX-2941/,跌破下軌,43.25,43.86,,42.30,True,跌破下軌,43.25,43.40,,42.30,True
3095.TWO,https://www.tradingview.com/symbols/TPEX-3095/,突破上軌,30.85,30.59,39.35,,True,突破上軌,30.85,30.74,85.00,,True
3207.TWO,https://www.tradingview.com/symbols/TPEX-3207/,突破上軌,75.20,74.13,87.40,,True,突破上軌,75.20,74.63,165.90,,True
4198.TWO,https://www.tradingview.com/symbols/TPEX-4198/,跌破下軌,31.95,32.90,,28.55,True,跌破下軌,31.95,32.78,,23.80,True
4741.TWO,https://www.tradingview.com/symbols/TPEX-4741/,突破上軌,23.25,22.81,26.50,,True,突破上軌,23.25,22.97,58.30,,True
5220.TWO,https://www.tradingview.com/symbols/TPEX-5220/,突破上軌,19.45,18.99,23.95,,True,突破上軌,19.45,19.08,28.98,,True
5245.TWO,https://www.tradingview.com/symbols/TPEX-5245/,突破上軌,28.25,27.57,37.00,,True,突破上軌,28.25,26.79,45.65,,True
5902.TWO,https://www.tradingview.com/symbols/TPEX-5902/,跌破下軌,43.75,43.92,,40.13,True,跌破下軌,43.75,43.77,,29.89,True
6016.TWO,https://www.tradingview.com/symbols/TPEX-6016/,突破上軌,13.75,13.58,13.70,,False,突破上軌,13.75,13.63,14.81,,True
6182.TWO,https://www.tradingview.com/symbols/TPEX-6182/,突破上軌,33.40,32.92,37.30,,True,突破上軌,33.40,33.38,43.05,,True
6207.TWO,https://www.tradingview.com/symbols/TPEX-6207/,突破上軌,56.50,56.11,73.00,,True,突破上軌,56.50,55.05,87.15,,True
8067.TWO,https://www.tradingview.com/symbols/TPEX-8067/,突破上軌,16.00,15.96,19.15,,True,突破上軌,16.00,15.92,22.60,,True
