symbol,symbol_url,日K_status,日K_close,日K_bband,日K_prev_high,日K_prev_low,日K_strict_check,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1203.TW,https://tw.tradingview.com/symbols/TWSE-1203/,突破上軌,40.10,40.15,40.85,,False,突破上軌,40.10,40.11,53.64,,False,突破上軌,40.10,40.28,56.49,,False
1315.TW,https://tw.tradingview.com/symbols/TWSE-1315/,突破上軌,64.90,64.92,66.54,,False,突破上軌,64.90,65.07,66.90,,False,突破上軌,64.90,65.36,76.94,,False
2345.TW,https://tw.tradingview.com/symbols/TWSE-2345/,突破上軌,1450.00,1457.42,1395.00,,True,突破上軌,1450.00,1391.56,1320.00,,True,突破上軌,1450.00,1454.76,1320.00,,True
2460.TW,https://tw.tradingview.com/symbols/TWSE-2460/,突破上軌,26.35,26.20,25.00,,True,突破上軌,26.35,26.15,42.45,,False,突破上軌,26.35,25.46,43.73,,False
2489.TW,https://tw.tradingview.com/symbols/TWSE-2489/,突破上軌,27.10,27.08,25.25,,True,突破上軌,27.10,27.17,27.29,,False,突破上軌,27.10,24.83,27.29,,False
2883.TW,https://tw.tradingview.com/symbols/TWSE-2883/,突破上軌,19.25,19.28,19.10,,True,突破上軌,19.25,19.07,18.60,,True,突破上軌,19.25,19.34,18.40,,True
2897.TW,https://tw.tradingview.com/symbols/TWSE-2897/,突破上軌,9.70,9.63,9.42,,True,突破上軌,9.70,9.57,10.12,,False,突破上軌,9.70,9.62,10.12,,False
3036.TW,https://tw.tradingview.com/symbols/TWSE-3036/,突破上軌,175.00,173.36,171.00,,True,突破上軌,175.00,170.99,170.98,,True,突破上軌,175.00,173.42,175.68,,False
6202.TW,https://tw.tradingview.com/symbols/TWSE-6202/,突破上軌,56.50,56.03,53.70,,True,突破上軌,56.50,54.79,64.40,,False,突破上軌,56.50,54.39,122.66,,False
6426.TW,https://tw.tradingview.com/symbols/TWSE-6426/,突破上軌,154.50,152.31,141.00,,True,突破上軌,154.50,148.15,133.00,,True,突破上軌,154.50,145.53,122.50,,True
6655.TW,https://tw.tradingview.com/symbols/TWSE-6655/,突破上軌,128.50,126.65,126.68,,True,突破上軌,128.50,126.56,143.20,,False,突破上軌,128.50,129.39,148.29,,False
3546.TWO,https://tw.tradingview.com/symbols/TPEX-3546/,跌破下軌,68.00,69.23,,72.40,True,跌破下軌,68.00,68.69,,59.54,False,跌破下軌,68.00,67.67,,43.38,False
5523.TWO,https://tw.tradingview.com/symbols/TPEX-5523/,突破上軌,30.50,30.53,30.65,,False,突破上軌,30.50,30.58,34.00,,False,突破上軌,30.50,30.65,34.00,,False
6509.TWO,https://tw.tradingview.com/symbols/TPEX-6509/,突破上軌,37.70,37.18,35.95,,True,突破上軌,37.70,37.30,44.14,,False,突破上軌,37.70,37.95,72.60,,False
6588.TWO,https://tw.tradingview.com/symbols/TPEX-6588/,突破上軌,92.60,91.54,84.20,,True,突破上軌,92.60,87.30,75.80,,True,突破上軌,92.60,85.35,138.99,,False
6716.TWO,https://tw.tradingview.com/symbols/TPEX-6716/,突破上軌,73.20,71.29,69.40,,True,突破上軌,73.20,68.99,133.87,,False,突破上軌,73.20,69.61,161.10,,False
