symbol,symbol_url,週K_status,週K_close,週K_bband,週K_prev_high,週K_prev_low,週K_strict_check,月K_status,月K_close,月K_bband,月K_prev_high,月K_prev_low,月K_strict_check
1321.TW,https://www.tradingview.com/symbols/TWSE-1321/,跌破下軌,33.30,33.36,,31.18,True,跌破下軌,33.30,33.50,,29.71,True
1323.TW,https://www.tradingview.com/symbols/TWSE-1323/,跌破下軌,18.60,18.67,,17.38,True,跌破下軌,18.60,18.64,,17.38,True
1512.TW,https://www.tradingview.com/symbols/TWSE-1512/,突破上軌,8.83,8.55,12.00,,True,突破上軌,8.83,8.81,18.04,,True
1514.TW,https://www.tradingview.com/symbols/TWSE-1514/,突破上軌,139.50,131.22,171.74,,True,突破上軌,139.50,132.39,171.74,,True
1517.TW,https://www.tradingview.com/symbols/TWSE-1517/,突破上軌,12.85,12.72,18.69,,True,突破上軌,12.85,12.76,31.01,,True
1539.TW,https://www.tradingview.com/symbols/TWSE-1539/,突破上軌,20.50,20.23,34.28,,True,突破上軌,20.50,20.19,42.00,,True
1809.TW,https://www.tradingview.com/symbols/TWSE-1809/,突破上軌,28.40,26.49,35.34,,True,突破上軌,28.40,26.17,35.34,,True
2302.TW,https://www.tradingview.com/symbols/TWSE-2302/,突破上軌,21.35,20.86,23.44,,True,突破上軌,21.35,21.21,23.44,,True
2367.TW,https://www.tradingview.com/symbols/TWSE-2367/,突破上軌,40.80,40.35,44.58,,True,突破上軌,40.80,37.65,44.58,,True
2444.TW,https://www.tradingview.com/symbols/TWSE-2444/,突破上軌,13.65,13.41,19.70,,True,突破上軌,13.65,13.29,20.90,,True
2457.TW,https://www.tradingview.com/symbols/TWSE-2457/,突破上軌,37.00,35.49,63.20,,True,突破上軌,37.00,36.12,85.12,,True
2484.TW,https://www.tradingview.com/symbols/TWSE-2484/,突破上軌,28.50,27.89,34.44,,True,突破上軌,28.50,26.84,38.27,,True
2489.TW,https://www.tradingview.com/symbols/TWSE-2489/,突破上軌,21.05,19.64,27.29,,True,突破上軌,21.05,19.37,27.29,,True
3049.TW,https://www.tradingview.com/symbols/TWSE-3049/,突破上軌,10.10,9.44,13.25,,True,突破上軌,10.10,9.23,18.83,,True
3138.TW,https://www.tradingview.com/symbols/TWSE-3138/,突破上軌,172.50,171.61,159.50,,False,突破上軌,172.50,153.24,458.97,,True
3149.TW,https://www.tradingview.com/symbols/TWSE-3149/,突破上軌,55.30,52.53,49.60,,False,突破上軌,55.30,51.74,83.52,,True
3432.TW,https://www.tradingview.com/symbols/TWSE-3432/,突破上軌,19.60,18.88,32.20,,True,突破上軌,19.60,18.48,54.19,,True
4106.TW,https://www.tradingview.com/symbols/TWSE-4106/,突破上軌,23.25,23.24,27.46,,True,突破上軌,23.25,23.15,46.41,,True
4540.TW,https://www.tradingview.com/symbols/TWSE-4540/,突破上軌,49.85,46.44,65.00,,True,突破上軌,49.85,49.75,66.99,,True
5525.TW,https://www.tradingview.com/symbols/TWSE-5525/,跌破下軌,26.00,26.16,,22.15,True,跌破下軌,26.00,26.36,,15.05,True
6226.TW,https://www.tradingview.com/symbols/TWSE-6226/,突破上軌,9.72,9.71,12.40,,True,突破上軌,9.72,9.14,20.12,,True
9955.TW,https://www.tradingview.com/symbols/TWSE-9955/,突破上軌,38.00,37.05,42.10,,True,突破上軌,38.00,36.27,42.10,,True
3226.TWO,https://www.tradingview.com/symbols/TPEX-3226/,突破上軌,56.70,55.82,64.11,,True,突破上軌,56.70,54.27,72.20,,True
3691.TWO,https://www.tradingview.com/symbols/TPEX-3691/,突破上軌,121.50,121.03,182.00,,True,突破上軌,121.50,110.62,234.18,,True
4528.TWO,https://www.tradingview.com/symbols/TPEX-4528/,突破上軌,21.35,20.29,30.93,,True,突破上軌,21.35,21.13,46.33,,True
4533.TWO,https://www.tradingview.com/symbols/TPEX-4533/,突破上軌,32.15,31.98,51.63,,True,突破上軌,32.15,30.82,51.63,,True
4923.TWO,https://www.tradingview.com/symbols/TPEX-4923/,突破上軌,38.70,37.14,48.48,,True,突破上軌,38.70,37.97,65.09,,True
5302.TWO,https://www.tradingview.com/symbols/TPEX-5302/,突破上軌,13.50,13.10,15.80,,True,突破上軌,13.50,12.59,22.45,,True
5381.TWO,https://www.tradingview.com/symbols/TPEX-5381/,突破上軌,34.00,32.29,41.50,,True,突破上軌,34.00,33.13,41.50,,True
5904.TWO,https://www.tradingview.com/symbols/TPEX-5904/,跌破下軌,405.50,411.41,,406.78,False,跌破下軌,405.50,408.90,,212.04,True
7709.TWO,https://www.tradingview.com/symbols/TPEX-7709/,突破上軌,41.50,41.07,66.70,,True,突破上軌,41.50,41.39,66.70,,True
8083.TWO,https://www.tradingview.com/symbols/TPEX-8083/,突破上軌,168.00,167.23,171.22,,True,突破上軌,168.00,166.69,171.22,,True
8436.TWO,https://www.tradingview.com/symbols/TPEX-8436/,突破上軌,146.00,143.76,155.87,,True,突破上軌,146.00,145.36,272.25,,True
8933.TWO,https://www.tradingview.com/symbols/TPEX-8933/,突破上軌,8.80,8.12,11.85,,True,突破上軌,8.80,8.25,24.95,,True
